Sprint,Module,Feature,Feature Description,Status,Testing Status,Priority,Code Status,Remarks
Sprint 1,Project Setup,Monorepo scaffold,"npm workspaces: frontend, backend, packages/shared",Done,Build OK,Critical,Done,npm install + full build pass
Sprint 1,Project Setup,Tooling,"ESLint, Prettier, Husky, lint-staged",Done,Lint OK,High,Done,ESLint 10 flat config; lint-staged pinned ^15 (Node 20)
Sprint 1,Project Setup,Docker Compose (dev),MongoDB service only,Done,Verified,High,Done,Redis deferred to Sprint 13; mongo:8 + backend connect verified
Sprint 1,Project Setup,CI pipeline,"GitHub Actions: lint, typecheck, build, test",Done,Pending (no GitHub yet),High,Done,Workflow authored; runs on first push
Sprint 1,Project Setup,Shared package,Types + Zod schemas shared FE/BE,Done,Build OK,High,Done,@ecommerce/shared consumed by FE+BE
Sprint 1,Project Setup,Backend structure,All feature modules under src/modules; common/ split into guards/decorators/interceptors/filters/schemas/utils,Done,Verified (build+lint+run),High,Done,"Moved auth/users/roles/categories/mail/health into src/modules; seed + login + category CRUD verified post-move"
Sprint 1,Project Setup,Common helpers/utils,"UUID id (generateId), date helpers, slugify; baseSchemaOptions (UUID _id + timestamps + toJSON id mapping + secret strip)",Done,Verified (curl),High,Done,"No ObjectId — every root _id is UUID v4 string; string refs; docs 04/07 updated"
Sprint 1,Project Setup,Common API envelope,"Standard success {statusCode,success,message,data,meta} + error {statusCode,success,message,error,details}",Done,Verified (curl),High,Done,"ResponseInterceptor + @ResponseMessage; AllExceptionsFilter maps Mongo E11000/Validation/Cast; doc 08 updated"
Sprint 1,Project Setup,Backend BaseService + query utils,"BaseService(findByIdOrThrow/paginate); query.util(paginate/parseSort/buildSearchFilter); @IsUuidId decorator; shared auth-cookie helper",Done,Verified (curl+build+lint),High,Done,"users/roles/categories extend BaseService; fixed @IsMongoId->@IsUuidId bug (UUID parent now 201, was 422); ?sort= wired; zod declared in deps"
Sprint 1,Design System,Shared FE component/hook library,"useApi/useMutation/useDebounce; getErrorMessage/formatters/validators/constants; FormField/Alert/Card/ConfirmDialog/PageHeader/Avatar; lib/types+getList",Done,Verified (build+lint),High,Done,"Adopted across Users/Roles/Categories/Settings + auth pages; feature barrels added; cross-feature import fixed; search debounced; doc 04 updated"
Sprint 1,Design System,Server-side pagination,"Common <Pagination> (showing X-Y of Z, page-size select, first/prev/windowed pages/next/last); meta adds hasNext/hasPrev; always server-driven",Done,Verified (curl+build+lint),High,Done,"BaseService.paginate + PaginationQueryDto (page/pageSize/search/sort); wired into Users (pageSize selectable); verified page/size/sort/hasNext across pages"
Sprint 1,Design System,Toast + confirm coverage,"toast success/error/warning/info/loading/dismiss; ConfirmDialog on all destructive actions",Done,Verified (build+lint),Medium,Done,"Added toast.warning; ConfirmDialog now guards Users delete+ban, Roles delete, Categories delete"
Sprint 1,Project Setup,Shared pkg dev import fix,"Vite resolves @ecommerce/shared from TS source (dist is CJS for backend; dev server couldn't see named exports through __exportStar)",Done,Verified (build),High,Done,"Fixes 'does not provide an export named hasPermission'; also gives HMR on shared edits"
Sprint 1,Design System,Design tokens,"Tailwind v4 tokens, light + dark via .dark",Done,Verified (build+run),Critical,Done,"No shadows, rounded-md; @theme CSS vars"
Sprint 1,Design System,UI primitives,"Button, Input, Select, Checkbox, Badge",Done,Verified (kitchen-sink),Critical,Done,
Sprint 1,Design System,Table component,Custom headless bordered/dense table,Done,Verified (kitchen-sink),High,Done,No TanStack/React Table
Sprint 1,Design System,Feedback components,"Modal, Toast, Tooltip, Dropdown",Done,Verified (kitchen-sink),High,Done,react-hot-toast; Modal/Tooltip/Dropdown custom (no Radix)
Sprint 1,Design System,Layout shell,"Sidebar, Navbar, MainLayout, AuthLayout",Done,Verified (run),Critical,Done,"Graphite sidebar, white-pill active"
Sprint 1,Design System,Loading/empty/error states,"Skeletons, empty states, ErrorBoundary",Done,Verified (kitchen-sink),Medium,Done,"Skeletons, never spinners"
Sprint 1,Design System,Error pages,"404 / 400 / 403 / 500 + router error boundary",Done,Verified (build),Medium,Done,Reusable ErrorState; catch-all 404 + errorElement; preview at /errors/*
Sprint 1,Design System,Design-system audit,No shadows + rounded-md across dashboard/sidebar/navbar,Done,Verified (build),High,Done,Swept shadows; radii -> rounded-md (full kept for avatars/pills)
Sprint 1,Design System,Reusable SearchInput,"Search field: left icon + clearable X button + Escape-to-clear + Enter submit + loading spinner; controlled value/onValueChange",Done,Verified (build+lint),Medium,Done,"components/ui/SearchInput; adopted in Users toolbar with loading state; hides native search cancel button"
Sprint 1,Design System,Table zebra + grey canvas,"Zebra striped rows (--row-stripe), clearer hover (--row-hover), white table card on grey app canvas (--bg)",Done,Verified (build+lint),Medium,Done,"New --row-stripe token (light+dark); --bg now light grey so surfaces pop; Table container bg-surface; Users page spacing tightened space-y-6->4"
Sprint 2,Auth,Admin seed + invite,No public signup; seed one admin then admin invites users by email,Done,Verified (curl + build),Critical,Done,"npm run seed creates ADMIN; POST /auth/invite + /auth/accept-invite; signup removed (404); INVITED->ACTIVE; invite token TTL now 15 min (was 3d); invitedAt/inviteExpiresAt/invitedBy tracked"
Sprint 3,User Management,Invited list + reinvite/revoke,"Invited tab with 15-min expiry, reinvite (refresh window), revoke (hard-delete pending)",Done,Verified (curl + build + lint),High,Done,"Tabs (All/Invited w/ count badge); POST /auth/reinvite/:id + DELETE /auth/invite/:id; expiry badge via formatRelative; reinvite/revoke ACTIVE users -> 400; reusable Tabs component + formatRelative util"
